Year,Month,Province,Employment (Millions),Unemployment rate (%),Employment rate (%),Participation rate (%)
2023,August,Alberta,0.43,3.82,28.85,31.08
2023,December,Alberta,0.43,3.95,27.81,30.02
2023,July,Alberta,0.43,3.96,28.91,31.3
2023,November,Alberta,0.43,3.93,27.82,30.02
2023,October,Alberta,0.43,3.42,28.04,29.89
2023,September,Alberta,0.42,3.78,27.67,29.69
2024,April,Alberta,0.43,4.81,27.72,30.51
2024,August,Alberta,0.44,4.57,28.19,30.9
2024,December,Alberta,0.44,4.06,27.86,30.17
2024,February,Alberta,0.43,4.26,27.75,30.16
2024,January,Alberta,0.43,4.25,27.52,29.91
2024,July,Alberta,0.44,4.38,28.26,30.85
2024,June,Alberta,0.44,4.37,28.13,30.71
2024,March,Alberta,0.43,4.25,27.64,30.04
2024,May,Alberta,0.43,4.46,28.04,30.67
2024,November,Alberta,0.44,4.44,27.44,29.97
2024,October,Alberta,0.44,4.46,27.3,29.76
2024,September,Alberta,0.44,4.59,27.2,29.76
2025,April,Alberta,0.44,4.92,27.25,30.05
2025,August,Alberta,0.45,5.08,27.71,30.78
2025,December,Alberta,0.46,4.05,27.44,29.7
2025,February,Alberta,0.44,4.2,27.34,29.71
2025,January,Alberta,0.44,4.16,27.43,29.82
2025,July,Alberta,0.45,5.23,27.78,31.01
2025,June,Alberta,0.45,4.3,28.15,30.65
2025,March,Alberta,0.44,4.6,27.18,29.78
2025,May,Alberta,0.45,4.89,27.58,30.51
2025,November,Alberta,0.46,3.99,27.87,30.13
2025,October,Alberta,0.45,4.36,27.64,30.15
2025,September,Alberta,0.45,4.68,27.39,30.07
2026,February,Alberta,0.46,4.26,27.32,29.62
2026,January,Alberta,0.46,4.26,27.44,29.77
2026,March,Alberta,0.46,4.41,27.41,29.81
2023,August,British Columbia,0.49,3.3,28.32,30.28
2023,December,British Columbia,0.5,2.98,27.71,29.39
2023,July,British Columbia,0.49,3.52,28.12,30.18
2023,November,British Columbia,0.5,2.98,27.76,29.45
2023,October,British Columbia,0.5,2.93,27.88,29.51
2023,September,British Columbia,0.5,3.22,27.86,29.67
2024,April,British Columbia,0.51,3.04,27.59,29.28
2024,August,British Columbia,0.5,3.92,27.26,29.55
2024,December,British Columbia,0.5,3.51,26.52,28.42
2024,February,British Columbia,0.5,3.02,27.43,29.12
2024,January,British Columbia,0.5,3.05,27.38,29.11
2024,July,British Columbia,0.5,3.72,27.54,29.71
2024,June,British Columbia,0.51,3.23,27.61,29.43
2024,March,British Columbia,0.5,3.43,27.47,29.39
2024,May,British Columbia,0.51,3.4,27.67,29.62
2024,November,British Columbia,0.5,3.72,26.33,28.29
2024,October,British Columbia,0.5,3.8,26.53,28.54
2024,September,British Columbia,0.5,3.75,26.49,28.54
2025,April,British Columbia,0.51,3.92,26.57,28.72
